country departure,country arrival,number of routes
Ethiopia,Angola,1
Ethiopia,Bahrain,1
Ethiopia,Burkina Faso,1
Ethiopia,Cameroon,2
Ethiopia,Central African Republic,2
Ethiopia,Chad,1
Ethiopia,China,1
Ethiopia,Congo,1
Ethiopia,Congo,2
Ethiopia,Djibouti,4
Ethiopia,Egypt,2
Ethiopia,Equatorial Guinea,2
Ethiopia,Ethiopia,40
Ethiopia,France,1
Ethiopia,Gabon,1
Ethiopia,Germany,2
Ethiopia,Ghana,1
Ethiopia,India,5
Ethiopia,Israel,1
Ethiopia,Italy,5
Ethiopia,Kenya,7
Ethiopia,Kuwait,2
Ethiopia,Lebanon,2
Ethiopia,Malawi,1
Ethiopia,Mozambique,1
Ethiopia,Nigeria,2
Ethiopia,Saudi Arabia,4
Ethiopia,South Africa,3
Ethiopia,South Sudan,2
Ethiopia,Sudan,6
Ethiopia,Tanzania,8
Ethiopia,Thailand,2
Ethiopia,Togo,2
Ethiopia,Turkey,2
Ethiopia,Uganda,6
Ethiopia,United Arab Emirates,3
Ethiopia,United Kingdom,2
Ethiopia,Yemen,1
Ethiopia,Zambia,1
Ethiopia,Zimbabwe,1
Falkland Islands,Chile,1
Faroe Islands,Denmark,2
Faroe Islands,Iceland,1
Fiji,Australia,10
Fiji,Fiji,26
Fiji,Hong Kong,2
Fiji,Kiribati,3
Fiji,New Caledonia,1
Fiji,New Zealand,6
Fiji,Samoa,2
Fiji,Solomon Islands,2
Fiji,South Korea,1
Fiji,Tonga,2
Fiji,Tuvalu,1
Fiji,United States of America,7
Fiji,Vanuatu,3
Fiji,Wallis and Futuna,1
Finland,Austria,1
Finland,Belarus,2
Finland,Belgium,5
Finland,China,4
Finland,Czech Republic,2
Finland,Denmark,8
Finland,Estonia,11
Finland,Finland,74
Finland,France,3
Finland,Germany,21
Finland,Hong Kong,1
Finland,Hungary,2
Finland,Iceland,2
Finland,India,1
Finland,Italy,5
Finland,Japan,6
Finland,Latvia,7
Finland,Lithuania,2
Finland,Netherlands,3
Finland,Norway,4
Finland,Poland,4
Finland,Portugal,1
Finland,Russia,7
Finland,Singapore,1
Finland,South Korea,1
Finland,Spain,14
Finland,Sweden,21
Finland,Switzerland,7
Finland,Thailand,1
Finland,Turkey,1
Finland,Ukraine,2
Finland,United Arab Emirates,2
Finland,United Kingdom,6
Finland,United States of America,2
France,Algeria,69
France,Angola,2
France,Argentina,1
France,Armenia,2
France,Austria,9
France,Azerbaijan,2
France,Bahrain,1
France,Belarus,1
France,Belgium,17
France,Benin,1
France,Brazil,4
France,Bulgaria,3
France,Burkina Faso,3
France,Cameroon,5
France,Canada,13
France,Cape Verde,2
France,Central African Republic,1
France,Chad,1
France,Chile,2
France,China,7
France,Colombia,1
France,Congo,1
France,Congo,2
France,Cote d'Ivoire,2
France,Croatia,4
France,Cuba,3
France,Cyprus,1
France,Czech Republic,8
France,Denmark,12
France,Dominican Republic,6
France,Egypt,5
France,Equatorial Guinea,1
France,Ethiopia,1
France,Finland,3
France,France,372
France,French Guiana,2
France,Gabon,1
France,Georgia,1
France,Germany,56
France,Greece,5
France,Guadeloupe,7
France,Guernsey,1
France,Guinea,1
France,Haiti,1
France,Hong Kong,3
France,Hungary,3
France,Iceland,1
France,India,4
France,Iran,1
France,Ireland,10
France,Israel,4
France,Italy,87
France,Japan,6
France,Jordan,3
France,Kenya,2
France,Latvia,1
France,Lebanon,3
France,Lithuania,1
France,Luxembourg,3
France,Madagascar,3
France,Malaysia,2
France,Maldives,1
France,Mali,2
France,Malta,2
France,Martinique,4
France,Mauritania,1
France,Mauritius,3
France,Mayotte,1
France,Mexico,5
France,Monaco,2
France,Montenegro,1
France,Morocco,62
France,Netherlands,26
France,Netherlands Antilles,6
France,Niger,3
France,Nigeria,1
France,Norway,7
France,Oman,1
France,Pakistan,2
France,Peru,1
France,Poland,11
France,Portugal,31
France,Puerto Rico,1
France,Qatar,1
France,Reunion,6
France,Romania,8
France,Russia,8
France,Saudi Arabia,4
France,Senegal,3
France,Serbia,2
France,Singapore,3
France,Slovakia,1
France,Slovenia,3
France,South Africa,3
France,South Korea,3
France,Spain,83
France,Sri Lanka,1
France,Sweden,11
France,Switzerland,16
France,Syria,2
France,Taiwan,1
France,Thailand,4
France,Togo,1
France,Tunisia,31
France,Turkey,9
France,Ukraine,2
France,United Arab Emirates,6
France,United Kingdom,122
France,United States of America,78
France,Uzbekistan,1
France,Venezuela,1
France,Vietnam,6
France,Virgin Islands,1
French Guiana,Brazil,1
French Guiana,France,2
French Guiana,Martinique,2
French Polynesia,Cook Islands,1
French Polynesia,French Polynesia,102
French Polynesia,Japan,2
French Polynesia,New Caledonia,1
French Polynesia,New Zealand,3
French Polynesia,United States of America,6
Gabon,Angola,1
Gabon,Benin,5
Gabon,Cameroon,4
Gabon,Congo,2
Gabon,Congo,4
Gabon,Equatorial Guinea,2
Gabon,Ethiopia,1
Gabon,France,1
Gabon,Germany,1
Gabon,Kenya,1
Gabon,Morocco,1
Gabon,Nigeria,1
Gabon,Sao Tome and Principe,1
Gabon,South Africa,1
Gabon,Togo,1
Gambia,Belgium,6
Gambia,Germany,1
Gambia,Ghana,1
Gambia,Guinea,7
Gambia,Guinea-Bissau,1
Gambia,Morocco,1
Gambia,Senegal,3
Gambia,Sierra Leone,6
Gambia,Spain,1
Gambia,United Kingdom,3
Georgia,Armenia,1
Georgia,Austria,2
Georgia,Azerbaijan,2
Georgia,Belarus,2
Georgia,China,1
Georgia,Czech Republic,1
Georgia,Georgia,2
Georgia,Germany,2
Georgia,Greece,1
Georgia,Israel,1
Georgia,Kazakhstan,1
Georgia,Latvia,2
Georgia,Poland,1
Georgia,Russia,4
Georgia,Turkey,4
Georgia,Ukraine,6
Georgia,United Arab Emirates,2
Germany,Afghanistan,1
Germany,Albania,1
Germany,Algeria,2
Germany,Angola,2
Germany,Antigua and Barbuda,1
Germany,Argentina,1
Germany,Austria,70
Germany,Azerbaijan,4
Germany,Bahrain,1
Germany,Barbados,1
Germany,Belarus,4
Germany,Belgium,14
Germany,Bosnia and Herzegovina,2
Germany,Brazil,13
Germany,Bulgaria,11
Germany,Canada,19
Germany,Cape Verde,1
Germany,China,17
Germany,Colombia,2
Germany,Croatia,15
Germany,Cuba,6
Germany,Cyprus,7
Germany,Czech Republic,11
Germany,Denmark,25
Germany,Dominican Republic,9
Germany,Egypt,41
Germany,Estonia,4
Germany,Ethiopia,2
Germany,Finland,21
Germany,France,55
Germany,Gabon,1
Germany,Gambia,1
Germany,Georgia,2
Germany,Germany,218
Germany,Ghana,1
Germany,Greece,21
Germany,Hong Kong,3
Germany,Hungary,19
Germany,Iceland,2
Germany,India,16
Germany,Iran,5
Germany,Iraq,2
Germany,Ireland,12
Germany,Israel,12
Germany,Italy,140
Germany,Jamaica,2
Germany,Japan,9
Germany,Jordan,7
Germany,Kazakhstan,5
Germany,Kenya,4
Germany,Kuwait,2
Germany,Latvia,9
Germany,Lebanon,2
Germany,Lithuania,5
Germany,Luxembourg,10
Germany,Macedonia,1
Germany,Malaysia,1
Germany,Maldives,3
Germany,Malta,8
Germany,Mauritius,3
Germany,Mexico,4
Germany,Moldova,2
Germany,Montenegro,1
Germany,Morocco,14
Germany,Namibia,2
Germany,Netherlands,25
Germany,Netherlands Antilles,1
Germany,Nigeria,5
Germany,Norway,22
Germany,Oman,2
Germany,Pakistan,1
Germany,Poland,55
Germany,Portugal,28
Germany,Puerto Rico,1
Germany,Qatar,7
Germany,Romania,24
Germany,Russia,59
Germany,Saint Lucia,1
Germany,Saudi Arabia,9
Germany,Serbia,23
Germany,Seychelles,1
Germany,Singapore,9
Germany,Slovenia,4
Germany,South Africa,6
Germany,South Korea,3
Germany,Spain,232
Germany,Sri Lanka,1
Germany,Sweden,30
Germany,Switzerland,48
Germany,Syria,1
Germany,Taiwan,1
Germany,Tajikistan,1
Germany,Tanzania,1
Germany,Thailand,9
Germany,Trinidad and Tobago,1
Germany,Tunisia,17
Germany,Turkey,70
Germany,Turkmenistan,1
Germany,Ukraine,13
Germany,United Arab Emirates,18
Germany,United Kingdom,119
Germany,United States of America,115
Germany,Uzbekistan,1
Germany,Venezuela,1
Germany,Vietnam,4
Ghana,Burkina Faso,1
Ghana,Cote d'Ivoire,3
Ghana,Egypt,1
Ghana,Ethiopia,1
Ghana,Gambia,1
Ghana,Germany,1
Ghana,Ghana,12
Ghana,Italy,1
Ghana,Kenya,1
Ghana,Liberia,7
Ghana,Mali,5
Ghana,Morocco,1
Ghana,Namibia,1
Ghana,Netherlands,1
Ghana,Nigeria,6
Ghana,Portugal,1
Ghana,Sierra Leone,1
Ghana,South Africa,1
Ghana,Togo,6
Ghana,Turkey,1
Ghana,United Arab Emirates,1
Ghana,United Kingdom,2
Ghana,United States of America,5
Gibraltar,United Kingdom,5
Greece,Albania,7
Greece,Armenia,1
Greece,Austria,2
Greece,Bahrain,1
Greece,Belgium,4
Greece,Bulgaria,5
Greece,Cyprus,8
Greece,Czech Republic,1
Greece,Denmark,2
Greece,Egypt,3
Greece,France,5
Greece,Georgia,1
Greece,Germany,21
Greece,Greece,174
Greece,Hungary,2
Greece,Israel,2
Greece,Italy,13
Greece,Jordan,1
Greece,Lebanon,1
Greece,Malta,1
Greece,Moldova,1
Greece,Netherlands,3
Greece,Poland,1
Greece,Portugal,2
Greece,Qatar,1
Greece,Romania,3
Greece,Russia,5
Greece,Serbia,4
Greece,Spain,7
Greece,Switzerland,3
Greece,Syria,2
Greece,Tunisia,1
Greece,Turkey,6
Greece,Ukraine,1
Greece,United Arab Emirates,4
Greece,United Kingdom,10
Greece,United States of America,2
Greenland,Denmark,1
Greenland,Greenland,56
Greenland,Iceland,2
Grenada,Barbados,2
Grenada,Canada,2
Grenada,Puerto Rico,1
Grenada,Saint Vincent and the Grenadines,2
Grenada,Trinidad and Tobago,4
Grenada,United States of America,3
Grenada,Venezuela,1
Guadeloupe,Antigua and Barbuda,1
Guadeloupe,Canada,1
Guadeloupe,Dominica,1
Guadeloupe,Dominican Republic,3
Guadeloupe,France,7
Guadeloupe,French Guiana,1
Guadeloupe,Guadeloupe,6
Guadeloupe,Haiti,2
Guadeloupe,Martinique,4
Guadeloupe,Puerto Rico,1
Guam,Australia,2
Guam,Hong Kong,2
Guam,Japan,35
Guam,Micronesia,4
Guam,Northern Mariana Islands,3
Guam,Palau,2
Guam,Philippines,2
Guam,South Korea,3
Guam,Taiwan,2
Guam,United States of America,2
Guatemala,Costa Rica,3
Guatemala,El Salvador,5
Guatemala,Guatemala,2
Guatemala,Honduras,2
Guatemala,Mexico,3
Guatemala,Panama,1
Guatemala,United States of America,23
Guernsey,France,1
Guernsey,Guernsey,2
Guernsey,Isle of Man,1
Guernsey,Jersey,3
Guernsey,Switzerland,2
Guernsey,United Kingdom,13
Guinea,Cote d'Ivoire,3
Guinea,France,1
Guinea,Gambia,7
Guinea,Liberia,1
Guinea,Mali,2
Guinea,Mauritania,1
Guinea,Morocco,1
Guinea,Senegal,2
Guinea,Sierra Leone,1
Guinea-Bissau,Gambia,2
Guinea-Bissau,Morocco,1
Guinea-Bissau,Portugal,1
Guinea-Bissau,Senegal,3
Guinea-Bissau,Sierra Leone,1
Guyana,Barbados,1
Guyana,Trinidad and Tobago,1
Guyana,United States of America,1
Haiti,Canada,1
Haiti,Dominican Republic,2
Haiti,France,1
Haiti,Guadeloupe,2
Haiti,Haiti,2
Haiti,Netherlands Antilles,1
Haiti,Panama,1
Haiti,Turks and Caicos Islands,2
Haiti,United States of America,9
Honduras,Cayman Islands,2
Honduras,Costa Rica,6
Honduras,El Salvador,4
Honduras,Guatemala,2
Honduras,Honduras,32
Honduras,Mexico,1
Honduras,Panama,1
Honduras,United States of America,20
Hong Kong,Australia,13
Hong Kong,Bahrain,1
Hong Kong,Bangladesh,3
Hong Kong,Brunei,2
Hong Kong,Cambodia,1
Hong Kong,Canada,6
Hong Kong,China,107
Hong Kong,Fiji,2
Hong Kong,Finland,1
Hong Kong,France,3
Hong Kong,Germany,3
Hong Kong,Guam,2
Hong Kong,India,10
Hong Kong,Indonesia,7
Hong Kong,Israel,1
Hong Kong,Italy,2
Hong Kong,Japan,26
Hong Kong,Malaysia,10
Hong Kong,Mauritius,1
Hong Kong,Mongolia,1
Hong Kong,Nepal,3
Hong Kong,Netherlands,2
Hong Kong,New Zealand,3
Hong Kong,Papua New Guinea,1
Hong Kong,Philippines,10
Hong Kong,Qatar,1
Hong Kong,Russia,5
Hong Kong,Saudi Arabia,1
Hong Kong,Singapore,10
Hong Kong,South Africa,2
Hong Kong,South Korea,11
Hong Kong,Switzerland,1
Hong Kong,Taiwan,10
Hong Kong,Thailand,20
Hong Kong,Turkey,1
Hong Kong,United Arab Emirates,3
Hong Kong,United Kingdom,5
Hong Kong,United States of America,21
Hong Kong,Vietnam,10
Hungary,Albania,2
Hungary,Austria,1
Hungary,Belgium,3
Hungary,Bosnia and Herzegovina,1
Hungary,Bulgaria,4
Hungary,China,2
Hungary,Croatia,1
Hungary,Cyprus,1
Hungary,Czech Republic,3
Hungary,Denmark,2
Hungary,Egypt,1
Hungary,Finland,2
Hungary,France,3
Hungary,Germany,19
Hungary,Greece,2
Hungary,Ireland,2
Hungary,Israel,2
Hungary,Italy,12
Hungary,Jordan,2
Hungary,Lebanon,1
Hungary,Macedonia,1
Hungary,Moldova,3
Hungary,Montenegro,1
Hungary,Netherlands,3
Hungary,Norway,1
Hungary,Poland,2
Hungary,Portugal,1
Hungary,Qatar,1
Hungary,Romania,5
Hungary,Russia,4
Hungary,Serbia,4
Hungary,Spain,4
Hungary,Sweden,6
Hungary,Switzerland,4
Hungary,Syria,2
Hungary,Turkey,2
Hungary,Ukraine,4
Hungary,United Kingdom,8
Iceland,Denmark,2
Iceland,Faroe Islands,1
Iceland,Finland,2
Iceland,France,1
Iceland,Germany,2
Iceland,Greenland,2
Iceland,Iceland,6
Iceland,Netherlands,1
Iceland,Norway,2
Iceland,Sweden,1
Iceland,United Kingdom,4
Iceland,United States of America,4
India,Afghanistan,5
India,Austria,4
India,Bahrain,8
India,Bangladesh,9
India,Belgium,7
India,Bhutan,5
India,Myanmar,3
India,Canada,1
India,China,8
India,Egypt,1
India,Ethiopia,5
India,Finland,1
India,France,4
India,Germany,14
India,Hong Kong,10
India,India,1093
India,Iran,1
India,Israel,1
India,Italy,4
India,Japan,4
India,Jordan,2
India,Kazakhstan,2
India,Kenya,2
India,Kuwait,7
India,Malaysia,17
India,Maldives,3
India,Mauritius,6
India,Nepal,11
India,Netherlands,3
India,Oman,18
India,Pakistan,3
India,Qatar,15
India,Russia,6
India,Saudi Arabia,36
India,Singapore,32
India,South Africa,3
India,South Korea,2
India,Sri Lanka,18
India,Switzerland,4
India,Taiwan,2
India,Tajikistan,1
India,Thailand,24
India,Turkey,4
India,Turkmenistan,2
India,Ukraine,2
India,United Arab Emirates,66
India,United Kingdom,17
India,United States of America,9
India,Uzbekistan,2
India,Yemen,2
Indonesia,Australia,21
Indonesia,Brunei,4
Indonesia,China,7
Indonesia,Hong Kong,7
Indonesia,Indonesia,334
Indonesia,Japan,6
Indonesia,Malaysia,48
Indonesia,Philippines,3
Indonesia,Qatar,1
Indonesia,Russia,4
Indonesia,Saudi Arabia,4
Indonesia,Singapore,54
Indonesia,South Korea,4
Indonesia,Sri Lanka,2
Indonesia,Taiwan,7
Indonesia,Thailand,9
Indonesia,United Arab Emirates,3
Indonesia,Vietnam,1
Iran,Afghanistan,7
Iran,Armenia,5
Iran,Austria,2
Iran,Azerbaijan,2
Iran,Belarus,1
Iran,China,2
Iran,Denmark,1
Iran,France,1
Iran,Germany,5
Iran,India,2
Iran,Iran,308
Iran,Iraq,4
Iran,Italy,1
Iran,Kazakhstan,1
Iran,Kuwait,11
Iran,Lebanon,2
Iran,Malaysia,2
Iran,Netherlands,2
Iran,Oman,2
Iran,Pakistan,3
Iran,Qatar,6
Iran,Russia,2
Iran,Saudi Arabia,1
Iran,Sweden,2
Iran,Syria,8
Iran,Tajikistan,3
Iran,Thailand,2
Iran,Turkey,16
Iran,Ukraine,1
Iran,United Arab Emirates,22
Iran,United Kingdom,1
Iran,Uzbekistan,1
Iraq,Austria,2
Iraq,Egypt,2
Iraq,Germany,2
Iraq,Iran,4
Iraq,Jordan,5
Iraq,Lebanon,2
Iraq,Turkey,8
Iraq,United Arab Emirates,7
Ireland,Austria,2
Ireland,Belgium,2
Ireland,Czech Republic,1
Ireland,Denmark,2
Ireland,Estonia,1
Ireland,France,10
Ireland,Germany,12
Ireland,Hungary,2
Ireland,Ireland,4
Ireland,Isle of Man,1
Ireland,Italy,8
Ireland,Latvia,1
Ireland,Lithuania,4
Ireland,Malta,1
Ireland,Morocco,1
Ireland,Netherlands,3
Ireland,Norway,3
Ireland,Poland,17
Ireland,Portugal,3
Ireland,Romania,1
Ireland,Slovakia,1
Ireland,Spain,34
Ireland,Sweden,2
Ireland,Switzerland,4
Ireland,Turkey,1
Ireland,United Arab Emirates,2
Ireland,United Kingdom,59
Ireland,United States of America,23
Isle of Man,Guernsey,1
Isle of Man,Ireland,1
Isle of Man,Jersey,1
Isle of Man,Switzerland,1
Isle of Man,United Kingdom,17
Israel,Armenia,2
Israel,Austria,2
Israel,Azerbaijan,1
Israel,Belarus,1
Israel,Belgium,2
Israel,Bulgaria,2
Israel,Canada,2
Israel,China,2
Israel,Cyprus,3
Israel,Czech Republic,3
Israel,Egypt,1
Israel,Ethiopia,1
Israel,France,4
Israel,Georgia,1
Israel,Germany,12
Israel,Greece,2
Israel,Hong Kong,1
Israel,Hungary,2
Israel,India,1
Israel,Israel,10
Israel,Italy,5
Israel,Jordan,2
Israel,Latvia,1
Israel,Netherlands,2
Israel,Poland,2
Israel,Romania,2
Israel,Russia,13
Israel,South Africa,1
Israel,South Korea,1
Israel,Spain,5
Israel,Switzerland,4
Israel,Thailand,2
Israel,Turkey,1
Israel,Ukraine,7
Israel,United Kingdom,5
Israel,United States of America,7
Israel,Uzbekistan,1
Italy,Albania,22
Italy,Algeria,3
Italy,Argentina,2
Italy,Austria,16
Italy,Azerbaijan,1
Italy,Bahrain,2
Italy,Bangladesh,1
Italy,Belarus,2
Italy,Belgium,29
Italy,Brazil,4
Italy,Bulgaria,8
Italy,Canada,2
Italy,China,7
Italy,Croatia,4
Italy,Cuba,4
Italy,Cyprus,5
Italy,Czech Republic,16
Italy,Denmark,7
Italy,Egypt,12
Italy,Estonia,1
Italy,Ethiopia,4
Italy,Finland,5
Italy,France,87
Italy,Germany,138
Italy,Greece,13
Italy,Hong Kong,2
Italy,Hungary,12
Italy,India,4
Italy,Iran,1
Italy,Ireland,8
Italy,Israel,5
Italy,Italy,419
Italy,Japan,3
Italy,Jordan,4
Italy,Kenya,4
Italy,Kuwait,2
Italy,Latvia,6
Italy,Lebanon,3
Italy,Libya,1
Italy,Lithuania,4
Italy,Luxembourg,6
Italy,Macedonia,4
Italy,Malaysia,2
Italy,Maldives,3
Italy,Malta,13
Italy,Mauritius,4
Italy,Mexico,2
Italy,Moldova,6
Italy,Montenegro,1
Italy,Morocco,12
Italy,Netherlands,25
Italy,Nigeria,1
Italy,Norway,4
Italy,Oman,1
Italy,Poland,22
Italy,Portugal,21
Italy,Qatar,3
Italy,Romania,44
Italy,Russia,20
Italy,Saudi Arabia,4
Italy,Senegal,1
Italy,Serbia,8
Italy,Singapore,3
Italy,Slovakia,2
Italy,South Korea,2
Italy,Spain,103
Italy,Sri Lanka,1
Italy,Sweden,9
Italy,Switzerland,18
Italy,Syria,1
Italy,Tanzania,3
Italy,Thailand,2
Italy,Tunisia,8
Italy,Turkey,12
Italy,Ukraine,8
Italy,United Arab Emirates,5
Italy,United Kingdom,75
Italy,United States of America,30
Italy,Uzbekistan,2
Italy,Venezuela,1
Jamaica,Antigua and Barbuda,1
Jamaica,Bahamas,1
Jamaica,Barbados,1
Jamaica,Canada,16
Jamaica,Cayman Islands,2
Jamaica,Germany,2
Jamaica,Jamaica,8
Jamaica,Netherlands,1
Jamaica,Netherlands Antilles,2
Jamaica,Panama,2
Jamaica,Trinidad and Tobago,1
Jamaica,Turks and Caicos Islands,1
Jamaica,United Kingdom,6
Jamaica,United States of America,37
Japan,Australia,14
Japan,Austria,2
Japan,Canada,6
Japan,China,146
Japan,Denmark,2
Japan,Finland,6
Japan,France,6
Japan,French Polynesia,2
Japan,Germany,9
Japan,Guam,35
Japan,Hong Kong,26
Japan,India,2
Japan,Indonesia,6
Japan,Italy,3
Japan,Japan,543
Japan,Macau,4
Japan,Malaysia,9
Japan,Maldives,1
Japan,Mexico,1
Japan,Mongolia,1
Japan,Netherlands,2
Japan,New Caledonia,2
Japan,New Zealand,6
Japan,Northern Mariana Islands,3
Japan,Palau,2
Japan,Papua New Guinea,1
Japan,Philippines,10
Japan,Qatar,2
Japan,Russia,5
Japan,Singapore,17
Japan,South Korea,103
Japan,Sri Lanka,1
Japan,Switzerland,2
Japan,Taiwan,42
Japan,Thailand,17
Japan,Turkey,4
Japan,United Arab Emirates,6
Japan,United Kingdom,5
Japan,United States of America,86
Japan,Uzbekistan,1
Japan,Vietnam,16
Jersey,Guernsey,2
Jersey,Isle of Man,1
Jersey,Switzerland,3
Jersey,United Kingdom,13
Jordan,Algeria,1
Jordan,Austria,3
Jordan,Bahrain,3
Jordan,Belgium,1
Jordan,Canada,3
Jordan,Cyprus,1
Jordan,Egypt,5
Jordan,France,2
Jordan,Germany,7
Jordan,Greece,1
Jordan,Hungary,2
Jordan,India,2
Jordan,Iraq,5
Jordan,Israel,2
Jordan,Italy,5
Jordan,Jordan,2
Jordan,Kenya,1
Jordan,Kuwait,3
Jordan,Lebanon,4
Jordan,Libya,3
Jordan,Netherlands,1
Jordan,Oman,2
Jordan,Qatar,2
Jordan,Romania,2
Jordan,Russia,3
Jordan,Saudi Arabia,10
Jordan,Spain,4
Jordan,Sri Lanka,1
Jordan,Sudan,1
Jordan,Switzerland,2
Jordan,Syria,7
Jordan,Thailand,2
Jordan,Tunisia,1
Jordan,Turkey,2
Jordan,Ukraine,2
Jordan,United Arab Emirates,10
Jordan,United Kingdom,4
Jordan,United States of America,6
Jordan,Yemen,4
Kazakhstan,Armenia,1
Kazakhstan,Austria,2
Kazakhstan,Azerbaijan,4
Kazakhstan,Belarus,1
Kazakhstan,China,5
Kazakhstan,Czech Republic,1
Kazakhstan,Georgia,1
Kazakhstan,Germany,5
Kazakhstan,India,2
Kazakhstan,Iran,1
Kazakhstan,Kazakhstan,85
Kazakhstan,Kyrgyzstan,1
Kazakhstan,Malaysia,1
Kazakhstan,Netherlands,4
Kazakhstan,Russia,25
Kazakhstan,South Korea,2
Kazakhstan,Tajikistan,4
Kazakhstan,Thailand,1
Kazakhstan,Turkey,6
Kazakhstan,Ukraine,5
Kazakhstan,United Arab Emirates,5
Kazakhstan,United Kingdom,2
Kazakhstan,Uzbekistan,4
Kenya,Angola,2
Kenya,Bahrain,1
Kenya,Belgium,6
Kenya,Benin,1
Kenya,Botswana,2
Kenya,Burkina Faso,1
Kenya,Burundi,3
Kenya,Cameroon,2
Kenya,Central African Republic,1
Kenya,Chad,1
Kenya,Comoros,1
Kenya,Congo,6
Kenya,Cote d'Ivoire,1
Kenya,Djibouti,3
Kenya,Egypt,1
Kenya,Ethiopia,8
Kenya,France,2
Kenya,Germany,3
Kenya,Ghana,1
Kenya,India,2
Kenya,Italy,5
Kenya,Jordan,1
Kenya,Kenya,56
Kenya,Madagascar,2
Kenya,Malawi,3
Kenya,Mali,1
Kenya,Mauritius,2
Kenya,Mayotte,1
Kenya,Mozambique,4
Kenya,Netherlands,3
Kenya,Nigeria,2
Kenya,Qatar,1
Kenya,Rwanda,5
Kenya,Saudi Arabia,2
Kenya,Seychelles,1
Kenya,Somalia,2
Kenya,South Africa,2
Kenya,South Sudan,5
Kenya,Sudan,1
Kenya,Switzerland,3
Kenya,Tanzania,23
Kenya,Thailand,1
Kenya,Turkey,2
Kenya,Uganda,4
Kenya,United Arab Emirates,5
Kenya,United Kingdom,4
Kenya,Yemen,1
Kenya,Zambia,3
Kenya,Zimbabwe,2
Kiribati,Fiji,3
Kiribati,United States of America,2
Korea,China,3
Korea,Thailand,1
Kuwait,Bahrain,8
Kuwait,Bangladesh,2
Kuwait,Egypt,17
Kuwait,Ethiopia,2
Kuwait,Germany,2
Kuwait,India,8
Kuwait,Iran,11
Kuwait,Italy,2
Kuwait,Jordan,3
Kuwait,Lebanon,3
Kuwait,Malaysia,1
Kuwait,Netherlands,3
Kuwait,Oman,2
Kuwait,Pakistan,6
Kuwait,Qatar,3
Kuwait,Saudi Arabia,12
Kuwait,Sri Lanka,2
Kuwait,Syria,5
Kuwait,Thailand,1
Kuwait,Tunisia,1
Kuwait,Turkey,1
Kuwait,United Arab Emirates,10
Kuwait,United Kingdom,2
Kuwait,United States of America,3
Kuwait,Yemen,2
Kyrgyzstan,Azerbaijan,1
Kyrgyzstan,China,5
Kyrgyzstan,Kazakhstan,1
Kyrgyzstan,Kyrgyzstan,4
Kyrgyzstan,Russia,41
Kyrgyzstan,Tajikistan,3
Kyrgyzstan,Turkey,2
Kyrgyzstan,United Arab Emirates,2
Kyrgyzstan,Uzbekistan,3
Laos,Cambodia,6
Laos,China,4
Laos,Laos,12
Laos,Malaysia,1
Laos,Singapore,1
Laos,Thailand,7
Laos,Vietnam,5
Latvia,Austria,2
Latvia,Belarus,2
Latvia,Belgium,3
Latvia,Czech Republic,1
Latvia,Denmark,4
Latvia,Estonia,1
Latvia,Finland,7
Latvia,France,1
Latvia,Georgia,2
Latvia,Germany,9
Latvia,Ireland,1
Latvia,Israel,1
Latvia,Italy,6
Latvia,Lithuania,3
Latvia,Netherlands,2
Latvia,Norway,9
Latvia,Poland,2
Latvia,Russia,8
Latvia,Spain,1
Latvia,Sweden,4
Latvia,Switzerland,1
Latvia,Turkey,2
Latvia,Ukraine,2
Latvia,United Arab Emirates,1
Latvia,United Kingdom,8
Latvia,United States of America,1
Latvia,Uzbekistan,2
Lebanon,Algeria,1
Lebanon,Armenia,1
Lebanon,Bahrain,2
Lebanon,Belarus,1
Lebanon,Belgium,2
Lebanon,Bulgaria,1
Lebanon,Cyprus,2
Lebanon,Czech Republic,1
Lebanon,Egypt,3
Lebanon,Ethiopia,2
Lebanon,France,4
Lebanon,Germany,2
Lebanon,Greece,1
Lebanon,Hungary,1
Lebanon,Iran,2
Lebanon,Iraq,2
Lebanon,Italy,3
Lebanon,Jordan,4
Lebanon,Kuwait,3
Lebanon,Morocco,1
Lebanon,Nigeria,2
Lebanon,Oman,1
Lebanon,Qatar,2
Lebanon,Romania,3
Lebanon,Russia,1
Lebanon,Saudi Arabia,9
Lebanon,Sudan,1
Lebanon,Switzerland,1
Lebanon,Syria,1
Lebanon,Tunisia,2
Lebanon,Turkey,3
Lebanon,Ukraine,1
Lebanon,United Arab Emirates,6
Lebanon,United Kingdom,3
Lebanon,Yemen,1
Lesotho,South Africa,1
Liberia,Belgium,5
Liberia,Cote d'Ivoire,6
Liberia,Ghana,7
Liberia,Guinea,1
Liberia,Mali,1
Liberia,Morocco,1
Liberia,Senegal,1
Liberia,Sierra Leone,2
Libya,Egypt,5
Libya,Italy,1
Libya,Jordan,3
Libya,Libya,6
Libya,Malta,2
Libya,Morocco,1
Libya,Qatar,1
Libya,Tunisia,4
Libya,Turkey,3
Lithuania,Austria,1
Lithuania,Belgium,4
Lithuania,Czech Republic,1
Lithuania,Denmark,2
Lithuania,Estonia,1
Lithuania,Finland,2
Lithuania,France,1
Lithuania,Germany,5
Lithuania,Ireland,4
Lithuania,Italy,4
Lithuania,Latvia,3
Lithuania,Netherlands,2
Lithuania,Norway,4
Lithuania,Poland,1
Lithuania,Russia,1
Lithuania,Spain,2
